Words,Count
я,2939
,2678
магазин,1800
товар,1738
замовлення,1321
цецеи,1254
всеввесьвесь,1151
розетка,951
як,913
день,773
доставка,769
телефон,724
дужедужии,654
якии,634
міи,587
вже,550
ціна,510
саит,496
покупка,492
один,455
проблема,441
такии,427
цеи,411
томутоите,373
купувати,368
иоговоновін,365
без,357
менеджер,356
могти,352
то,348
свіи,344
іншии,339
всіввесьвесь,331
замовити,318
приити,316
отримати,313
час,309
задоволении,306
немає,305
зробити,302
можна,300
працювати,297
алале,294
відгук,291
сервіс,290
грн,289
купити,283
новии,252
замовляти,252
та,248
питання,240
повернення,239
пошта,235
тетои,227
просто,222
цілому,220
рекомендувати,217
робити,217
центр,215
тои,214
чекати,212
вирішити,212
номер,211
цитрус,210
наявність,210
передзвонити,208
сервіснии,207
видача,206
перевірити,205
виявитися,201
відразувідраза,198
грошігріш,197
ось,195
швидко,195
великии,188
дании,187
забрати,187
хвилина,185
наступнии,181
добредобрии,177
повернути,177
тиждень,171
більшебільшии,168
спасибі,167
курєр,166
довестися,164
воновін,163
година,163
подарунок,163
іншеіншии,160
подзвонити,160
потрібно,160
гарантія,159
зі,159
проити,158
першии,157
покупець,157
акція,156
відправити,155
поки,151
кілька,151
два,150
інтернет,147
оператор,147
самесамиисам,146
хотітихтіти,146
хорошии,146
якість,144
ваш,141
момент,141
рік,140
сам,140
знати,140
ніж,137
тоите,136
дзвонити,136
обслуговування,135
коробка,132
запропонувати,132
гарантіинии,131
клієнт,130
планшет,130
людина,129
випадок,128
думати,128
приіхати,125
жаль,125
залишитися,124
новановии,124
сподобатися,122
ніякии,122
вв,120
консультант,120
ноутбук,120
відповідати,120
модель,120
місце,119
всівсеввесьвесь,119
самиисам,117
написати,117
нічогоніщо,116
роботаробот,116
оформити,115
сьогодні,115
трохи,115
забирати,114
знаити,114
смс,114
місяць,113
доставити,113
смартфон,112
термін,112
користуватися,111
вибір,111
ситуація,111
приємно,111
протягомпротяг,110
черга,109
само,108
цілецілиив,108
днодень,107
хлопець,107
ремонт,106
відповідь,105
знижка,105
писати,104
склад,103
місто,103
навушник,103
уточнити,102
зателефонувати,102
назад,102
співробітник,102
взагалі,102
роботробота,101
оплата,100
пункт,100
отримання,100
інтернетмагазин,99
можливість,99
карта,97
якиись,96
ранішеранішии,95
продавець,94
чомущо,94
послуга,93
сподіватися,93
киів,93
речі,92
упаковка,91
хотіти,90
асортимент,90
повиннии,89
змогти,88
будабути,88
іівона,88
взяти,87
брати,87
талон,87
розуміти,85
